Formulation,RemovedM,dGtotal,dG1,Z,Hybrid,OS,BV_vac,Charge_vac,Mag_vac,Mag_env,Mag_inst,BV_Oxygen,Total_d_electrons,d_up_tot,d_down_tot,d_diff,t2g,eg,band_center_diff,instabilityindex,Ionicradius
NiMnFe,Ni(5),0.92879177,3.979067829,28,0.436506125,2.4,2.30142597,15.0649,1.2877,8.7828,7.4951,2.11357441,8.1464,4.5598,3.5867,0.9731,4.441,3.7054,3.925385931,0.491425033,69
NiMnFe,Ni(6),1.146568859,4.196844919,28,0.436506125,2.4,2.30142597,15.0649,1.2877,8.7828,7.4951,2.205891148,8.1464,4.5598,3.5867,0.9731,4.441,3.7054,3.925385931,0.491425033,69
NiMnFe,Ni(7),0.482161193,3.532437253,28,0.448074574,2.3,2.547629187,15.0172,0.931,5.5544,4.6234,2.11357441,8.214,4.5993,3.6147,0.9846,4.4957,3.7184,3.992671,0.491425033,56
NiMnFe,Ni(8),0.885150949,3.935427009,28,0.448074574,2.3,2.547629187,15.0172,0.931,5.5544,4.6234,2.128031072,8.214,4.5993,3.6147,0.9846,4.4957,3.7184,3.992671,0.491425033,56
NiMnFe,Ni(9),0.87153702,3.921813079,28,0.435228556,2.7,2.43301714,15.1135,1.1285,4.3048,3.1763,2.205891148,7.7776,4.2959,3.4817,0.8142,4.2874,3.4901,3.19562926,0.491425033,69
MnFeNi,Fe(1),0.782692401,4.17896846,26,0.938003796,3.3,3.753347202,12.852,-0.7784,15.974,16.7524,2.301930153,5.9511,1.3135,4.6375,3.324,3.4786,2.4724,4.678809504,0.498235616,58.5
MnFeNi,Ni(2),-0.089104245,2.961171815,28,0.495917989,2.3,2.069727111,15.1557,1.5093,13.6757,12.1664,2.060468607,8.2347,4.6632,3.5715,1.0917,4.6459,3.5889,4.907291505,0.498235616,69
MnFeNi,Mn(3),-0.003597071,4.937678988,25,1.051731498,2.9,3.05815397,11.7333,3.1378,15.0175,11.8797,2.115954836,5.309,3.7972,1.5118,2.2854,2.9001,2.4089,4.956930766,0.498235616,58
MnFeNi,Mn(4),-0.271656127,4.669619933,25,1.051731498,2.9,3.05815397,11.7333,3.1378,15.0175,11.8797,2.060468607,5.309,3.7972,1.5118,2.2854,2.9001,2.4089,4.956930766,0.498235616,58
MnFeNi,Mn(5),-0.641369406,4.299906653,25,0.924797197,2.5,3.072355231,11.6996,3.1431,10.4368,7.2937,2.115954836,5.5099,3.806,1.7039,2.1021,3.0389,2.471,4.989452918,0.498235616,58
MnFeNi,Mn(6),-0.981357638,3.959918422,25,0.924797197,2.5,3.072355231,11.6996,3.1431,10.4368,7.2937,2.301930153,5.5099,3.806,1.7039,2.1021,3.0389,2.471,4.989452918,0.498235616,58
MnFeNi,Mn(7),0.09157295,5.032849009,25,0.869052783,2.6,3.030050456,11.7125,3.1777,13.2927,10.115,2.115954836,5.3998,3.9458,1.454,2.4918,2.9892,2.4106,4.64829926,0.498235616,58
MnFeNi,Mn(8),-0.271478912,4.669797147,25,0.869052783,2.6,3.030050456,11.7125,3.1777,13.2927,10.115,2.060468607,5.3998,3.9458,1.454,2.4918,2.9892,2.4106,4.64829926,0.498235616,58
